,Unnamed: 0,Date,President,Title,Party,Home State,Date_Formatted,clean_text,Year
22,22,1951-04-11,Harry S. Truman,"April 11, 1951: Report to the American People on Korea",Democratic,Missouri,04-04-1951,fellow americans want talk plainly tonight korea policy far east simplest terms korea trying prevent third world war think people country recognized fact last june warmly supported decision government help republic korea communist aggressors many persons even applauded decision defend korea forgotten basic reason action right us korea right last june right today want remind true communists kremlin engaged monstrous conspiracy stamp freedom world succeed united states would numbered among principal victims must clear everyone united states cannot-- --sit idly await foreign conquest question best time meet threat best way meet best time meet threat beginning easier put fire beginning small become roaring blaze best way meet threat aggression peace loving nations act together act together likely picked one one followed right policies -- free countries acted together crush aggression dictators acted beginning aggression small-- probably would world war ii history taught us anything aggression anywhere world threat peace everywhere world aggression supported cruel selfish rulers powerful nation bent conquest becomes dear present danger security independence every free nation lesson people country learned thoroughly basic reason joined creating united nations since end world war ii putting lesson practice-- working free nations check aggressive designs soviet union result third world war greece nation threatened aggression international communism attack greece could led general war country came aid greece united nations supported greek resistance help determination efforts greek people defeated attack spot another big communist threat peace berlin blockade could led war settled free men would back emergency aggression korea boldest dangerous move communists yet made attack korea part greater plan conquering asia would like read secret intelligence report came us attack korea report speech communist army officer north korea gave group spies saboteurs last may month south korea invaded report shows great detail invasion part carefully prepared plot part communist officer trained moscow told men forces said scheduled attack south korean forces middle june coming attack south korea marks first step toward liberation asia notice used word liberation communist double talk meaning conquest another secret intelligence report one tells another communist officer far east told men several months invasion korea said order successfully undertake long awaited world revolution must first unify asia lava indochina malaya india tibet thailand philippines japan ultimate targets united states obstacle road liberation countries southeast asia words must unify people asia crush united states liberation commie language means conquest communist leaders telling people trying want control asia kremlin plan conquest flat contradiction believe believe korea belong koreans believe india belongs indians believe nations asia free work affairs way basis peace far east basis peace everywhere else whole communist imperialism back attack peace far east soviet union trained equipped north koreans aggression chinese communists massed well trained well equipped divisions korean frontier troops threw battle north korean communists beaten question face whether communist plan conquest stopped without general war government countries associated us united nations believe best chance stopping without general war meet attack korea defeat difficult bitter task far successful far prevented world war iii far fighting limited war korea prevented aggression succeeding bringing general war ability whole free world resist communist aggression greatly improved taught enemy lesson found aggression cheap easy moreover men world want remain free given new courage new hope know champions freedom stand fight stand fight resolute stand korea helping forces freedom fighting indochina countries part world already slowed timetable conquest korea signs enemy building ground forces new mass offensive also know large increases enemy available air forces new attack comes feel confident turned back united nations fighting forces tough able well equipped fighting cause proving world principle collective security work proud forces magnificent job done heavy odds pray efforts may succeed upon success may hinge peace world communist side must choose course action communist rulers may press attack us may take action spread conflict choice awful responsibility may follow communists also choice peaceful settlement could lead general relaxation tensions far east decision forces united nations strive limit conflict possible want see conflict korea extended trying prevent world war-- start one best way make plain free countries continue resist attack may ask take steps punish aggressor bomb manchuria china assist chinese nationalist troops land mainland china things would running grave risk starting general war happen would brought exact situation trying prevent things would become entangled vast conflict continent asia task would become immeasurably difficult world would suit ambitions kremlin better military forces committed full scale war red china may well spite best efforts communists may spread war would wrong--tragically wrong-- us take initiative extending war dangers great make mistake behind north koreans chinese communists front lines stand additional millions chinese soldiers behind chinese stand tanks planes submarines soldiers scheming rulers soviet union aim avoid spread conflict course following one best calculated avoid war course consistent obligation maintain international peace security experience greece berlin shows effective course action follow first clear efforts korea blunt chinese communists continue struggle united nations forces put tremendous fight korea inflicted heavy casualties enemy forces stronger plain facts may discourage chinese communists continuing attack second free world whole growing military strength every day united states western europe throughout world free men alert soviet threat building defenses may discourage communist rulers continuing war korea-- undertaking new acts aggression elsewhere communist authorities realize cannot defeat us korea realize would foolhardy widen hostilities beyond korea may recognize folly continuing aggression peaceful settlement may possible door always open may achieve settlement korea compromise principles purposes united nations thought long hard question extending war asia discussed many times ablest military advisers country believe heart course following best course believe must try limit war korea vital reasons make sure precious lives fighting men wasted see security country free world needlessly jeopardized prevent third world war number events made evident general macarthur agree policy therefore considered essential relieve general macarthur would doubt confusion real purpose aim policy deepest personal regret found compelled take action general macarthur one greatest military commanders cause world peace much important individual change commands far east means change whatever policy united states carry fight korea vigor determination effort bring war speedy successful conclusion new commander lt gen matthew ridgway already demonstrated great qualities military leadership needed task ready time negotiate restoration peace area engage appeasement interested real peace real peace achieved settlement based following factors one fighting must stop two concrete steps must taken insure fighting break three must end aggression settlement founded upon elements would open way unification korea withdrawal foreign forces meantime want clear military objective fighting resist outrageous aggression korea trying keep korean conflict spreading areas time must conduct military activities insure security forces essential continue fight enemy abandons ruthless attempt destroy republic korea military objective-- repel attack restore peace hard fighting korea proving collective action among nations high principle workable means resisting aggression defeat aggression korea may turning point world search practical way achieving peace security struggle united nations korea struggle peace free nations united strength effort prevent third world war war come communist rulers want come nation allies responsible coming want widen conflict use every effort prevent disaster know following great principles peace freedom justice,1951
23,23,1945-04-16,Harry S. Truman,"April 16, 1945: First Speech to Congress",Democratic,Missouri,04-04-1945,mr speaker mr president members congress heavy heart stand friends colleagues congress united states yesterday laid rest mortal remains beloved president franklin delano roosevelt time like words inadequate eloquent tribute would reverent silence yet decisive hour world events moving rapidly silence might misunderstood might give comfort enemies infinite wisdom almighty god seen fit take us great man loved beloved humanity man could possibly fill tremendous void left passing noble soul words ease aching hearts untold millions every race creed color world knows lost heroic champion justice freedom tragic fate thrust upon us grave responsibilities must carry departed leader never looked backward looked forward moved forward would want us america much blood already shed ideals cherish franklin delano roosevelt lived died dare permit even momentary pause hard fight victory today entire world looking america enlightened leadership peace progress leadership requires vision courage tolerance provided united nation deeply devoted highest ideals great humility call upon americans help keep nation united defense ideals eloquently proclaimed franklin roosevelt want turn assure fellow americans love peace liberty throughout world support defend ideals strength heart duty shall shirk possible misunderstanding germany japan certain beyond shadow doubt america continue fight freedom vestige resistance remains deeply conscious fact much hard fighting still ahead us pay heavy price make complete victory certain america never become party plan partial victory settle merely another temporary respite would surely jeopardize future security world demand remains--unconditional surrender traffic breakers peace terms peace responsibility making peace grave responsibility--must rest defenders peace unconscious dictates humanity wish see unnecessary unjustified suffering laws god man violated guilty must go unpunished nothing shall shake determination punish war criminals even though must pursue ends earth lasting peace never secured permit dangerous opponents plot future wars impunity mountain retreat--however distant shrinking world futile seek safety behind geographical barriers real security found law justice america labored long hard achieve social order worthy great heritage time tremendous progress made toward really democratic way life let assure forward looking people america relaxation efforts improve lot common people difficult days ahead unquestionably shall face problems staggering proportions however faith fathers hearts fear future battlefields frequently faced overwhelming odds-- home americans less resolute shall never cease struggle preserve maintain american way life moment america along brave allies paying heavy price defense freedom characteristic energy assisting liberation entire nations gradually shackles slavery broken forces freedom us praying speedy victory every day peace delayed costs terrible toll armies liberation today bringing end hitler ghastly threat dominate world tokyo rocks weight bombs grand strategy united nations war determined--due small measure vision departed commander chief carrying part strategy able direction admiral leahy general marshall admiral king general arnold general eisenhower admiral nimitz general macarthur want entire world know direction must remain--unchanged unhampered debt heroic men valiant women service country never repaid earned undying gratitude america never forget sacrifices sacrifices dawn justice freedom throughout world slowly casts gleam across horizon forefathers came rugged shores search religious tolerance political freedom economic opportunity fundamental rights risked lives well know today rights preserved constant vigilance eternal price liberty within hour took oath office announced san francisco conference would proceed face problems peace courage faced mastered problems war memory made supreme sacrifice-- memory fallen president-- shall fail enough yearn peace must work necessary fight task creating sound international organization complicated difficult yet without organization rights man earth cannot protected machinery settlement international differences must found without machinery entire world remain armed camp world doomed deadly conflict devoid hope real peace fortunately people retained hope durable peace thoughtful people always faith ultimately justice must triumph past experience surely indicates without justice enduring peace becomes impossible bitter despair people come believe wars inevitable tragic fatalism insist wars always necessity necessity wars always defeatism men women good must yield outlook humanity hopeless dark hours horrible war entire nations kept going something intangible--hope warned abject submission offered salvation overwhelming power hope showed way victory hope become secret weapon forces liberation aggressors could dominate human mind long hope remains spirit man never crushed hope alone sufficient avert war must hope must faith enough work peace loving nations maintain peace hope enough beat back aggressors long peace loving nations unwilling come defense aggressors beaten back peace loving nations united defend wars future prevented nations must united determination keep peace law nothing essential future peace world continued cooperation nations muster force necessary defeat conspiracy axis powers dominate world great states special responsibility enforce peace responsibility based upon obligations resting upon states large small use force international relations except defense law responsibility great states serve dominate world build foundation enduring peace must work harmony friends abroad must united support people even experienced pilot cannot bring ship safely harbor unless full cooperation crew benefit every individual must duty appeal every american regardless party race creed color support efforts build strong lasting united nations organization members congress surely know feel help hope complete one greatest tasks ever assigned public servant divine guidance help find new passage far better world kindly friendly world lasting peace confidence depending upon destroy greedy tyrants dreams world domination cannot continue successive generations sacrifice finest youth name human decency civilization rational method deciding national differences must found america must assist suffering humanity back along path peaceful progress require time tolerance shall need also abiding faith people kind faith courage franklin delano roosevelt always today america become one powerful forces good earth must keep achieved world leadership depend solely upon military naval might learned fight nations common defense freedom must learn live nations mutual good must learn trade nations may mutual advantage--increased production increased employment better standards living throughout world may americans live glorious heritage way america may well lead world peace prosperity moment heart prayer assumed heavy duties humbly pray almighty god words king solomon give therefore thy servant understanding heart judge thy people may discern good bad able judge thy great people ask good faithful servant lord people,1945
24,24,1945-08-06,Harry S. Truman,"August 6, 1945: Statement by the President Announcing the Use of the A-Bomb at Hiroshima",Democratic,Missouri,08-08-1945,sixteen hours ago american airplane dropped one bomb hiroshima important japanese army base bomb power tons n two thousand times blast power british grand slam largest bomb ever yet used history warfare japanese began war air pearl harbor repaid many fold end yet bomb added new revolutionary increase destruction supplement growing power armed forces present form bombs production even powerful forms development atomic bomb harnessing basic power universe force sun draws power loosed brought war far east accepted belief scientists theoretically possible release atomic energy one knew practical method however knew germans working feverishly find way add atomic energy engines war hoped enslave world failed may grateful providence germans got v v late limited quantities even grateful get atomic bomb battle laboratories held fateful risks us well battles air land sea battle laboratories battles beginning pearl harbor scientific knowledge useful war pooled united states great britain many priceless helps victories come arrangement general policy research atomic bomb begun american british scientists working together entered race discovery germans united states available large number scientists distinction many needed areas knowledge tremendous industrial financial resources necessary project could devoted without undue impairment vital war work united states laboratory work production plants substantial start already made would reach enemy bombing time britain exposed constant air attack still threatened possibility invasion reasons prime minister churchill president roosevelt agreed wise carry project two great plants many lesser works devoted production atomic power employment peak construction numbered individuals even engaged operating plants many worked two half years know producing see great quantities material going see nothing coming plants physical size explosive charge exceedingly small spent two billion dollars greatest scientific gamble history greatest marvel size enterprise secrecy cost achievement scientific brains putting together infinitely complex pieces knowledge held many men different fields science workable plan hardly less marvelous capacity industry design labor operate machines methods things never done brain child many minds came forth physical shape performed supposed science industry worked direction united states army achieved unique success managing diverse problem advancement knowledge amazingly short time doubtful another combination could got together world done greatest achievement organized science history done high pressure without failure prepared obliterate rapidly completely every productive enterprise japanese ground city shall destroy docks factories communications let mistake shall completely destroy japan power make war spare japanese people utter destruction ultimatum july issued potsdam leaders promptly rejected ultimatum accept terms may expect rain ruin air like never seen earth behind air attack follow sea land forces numbers power yet seen fighting skill already well aware secretary war kept personal touch phases project immediately make public statement giving details statement give facts concerning sites oak ridge near knoxville tennessee richland near pasco washington installation near santa fe new mexico although workers sites making materials used producing greatest destructive force history danger beyond many occupations utmost care taken safety fact release atomic energy ushers new era man understanding nature forces atomic energy may future supplement power comes coal oil falling water present cannot produced basis compete commercially comes must long period intensive research never habit scientists country policy government withhold world scientific knowledge normally therefore everything work atomic energy would made public present circumstances intended divulge technical processes production military applications pending examination possible methods protecting us rest world danger sudden destruction shall recommend congress united states consider promptly establishment appropriate commission control production use atomic power within united states shall give consideration make recommendations congress atomic power become powerful forceful influence towards maintenance world peace,1945
25,25,1945-08-09,Harry S. Truman,"August 9, 1945: Radio Report to the American People on the Potsdam Conference",Democratic,Missouri,08-08-1945,fellow americans returned berlin city germans intended rule world ghost city buildings ruins economy people ruins party also visited left frankfurt darmstadt flew remains kassel magdeburg devastated cities german women children old men wandering highways returning bombed homes leaving bombed cities searching food shelter war indeed come home germany german people come home frightfulness german leaders started waged german people beginning atone crimes gangsters placed power wholeheartedly approved obediently followed also saw terrific destruction war brought occupied countries western europe england glad home grateful almighty god land spared must spare ravages future breach peace though united states wants territory profit selfish advantage war going maintain military bases necessary complete protection interests world peace bases military experts deem essential protection possession acquire acquire arrangements consistent united nations charter one foresee another war would mean cities people japan even new atomic bomb small fraction would happen world third world war united nations determined shall next war united nations determined remain united strong never permit aggressor future clever enough divide us strong enough defeat us guiding spirit conference san francisco guiding spirit conference berlin guiding spirit peace settlements come conference berlin easy get along mutual understanding friendship generalissimo stalin prime minister churchill later prime minister attlee strong foundations good cooperation laid president roosevelt clear foundations rested upon much personal friendships three individuals fundamental accord agreement upon objectives ahead us two three conferees teheran yalta missing end conference sorely missed done work toward winning war made great contribution toward establishing maintaining lasting world peace seems ordained lead country hour greatest need thoroughly done jobs able carry reach many agreements essential future peace security world results berlin conference published secret agreements commitments apart current military arrangements made perfectly plain colleagues conference constitution president power make treaties without ratification senate united states want express thanks excellent services rendered conference secretary state byrnes highly commended leaders two powers thankful also members american delegation admiral leahy ambassadors harriman davies pauley entire american staff without hard work sound advice conference would unable accomplish much conference concerned many political economic questions one strictly military matter uppermost minds american delegates winning war japan program important item military arrangements made berlin course secret one secrets revealed yesterday soviet union declared war japan soviet union informed new weapon agreed enter war pacific gladly welcome struggle last axis aggressors gallant victorious ally nazis japs soon learn military secrets agreed upon berlin learn firsthand like met berlin united states government sent soviet british governments ideas taken conference first meeting delegation submitted proposals discussion subjects added soviet british governments main conference occupied american proposals first nonmilitary agreement berlin establishment council foreign ministers council going continuous meeting ground five principal governments reach common understanding regarding peace settlements mean five governments going try dictate dominate nations duty apply far possible fundamental principles justice underlying charter adopted san francisco meeting dumbarton oaks drew proposals placed conference san francisco council foreign ministers lay groundwork future peace settlements preparation council make possible speedier orderly efficient cooperative peace settlements could otherwise obtained one first tasks council foreign ministers draft proposed treaties peace former enemy countries italy rumania bulgaria hungary finland treaties course passed upon nations concerned country senate ratify shall begin necessary preparatory work adequate study may avoid planting seeds future wars sure american people agree council foreign ministers effective hastening day peace reconstruction anxious settle future italy first among former enemy countries italy first break away axis helped materially final defeat germany joined us war japan making real progress toward democracy peace treaty democratic italian government make possible us receive italy member united nations council foreign ministers also start preparatory work german peace settlement final acceptance wait germany developed government peace treaty made meantime conference berlin laid specific political economic principles germany governed occupying powers principles published hope read 1see item seek rid germany forces made long feared hated brought complete disaster intended eliminate nazisre armaments war industries german general staff military tradition seek rebuild democracy control german education reorganizing local government judiciary encouraging free speech free press freedom religion right labor organize german industry decentralized order away concentration economic power cartels monopolies chief emphasis agriculture peaceful industry german economic power make war eliminated germans higher standard living former victims people defeated occupied countries europe going make germany decent nation may eventually work way economic chaos brought upon back place civilized world economic action taken germany berlin conference included another important item reparations intend make mistake exacting reparations money lending germany money pay reparations time paid physical assets resources germany required peacetime subsistence first purpose reparations take germany everything prepare another war second purpose help devastated countries bring recovery means equipment material taken germany crimea conference basis fixing reparations proposed initial discussion study reparations commission basis total amount reparations twenty billions dollars sum one half go russia suffered heavily loss life property country berlin idea attempting fix dollar value property removed germany dropped fix dollar value share nation would sort guarantee amount nation would get guarantee might fulfilled therefore decided divide property percentages total amount available still generally agreed russia get approximately half total poland remainder divided among nations entitled reparations agreement berlin reparations claims soviet union poland met property located zone germany occupied soviet union german assets bulgaria finland hungary rumania east austria reparations claims countries met property located western zones occupation germany german assets countries soviet waives claim gold captured allied troops germany formula taking reparations zones lead less friction among allies tentative basis originally proposed study yalta difficulty formula however industrial capital equipment necessary german peace economy evenly divided among zones occupation western zones much higher percentage eastern zone mostly devoted agriculture production raw materials order equalize distribution give russia poland fair share approximately percent decided receive without reimbursement percent capital equipment western zones available reparations note communique percent capital equipment western zones necessary germany peace economy also turned russia poland free property poland russia give western zones equal amount value food coal raw materials percent therefore additional reparations russia poland means maintaining balanced economy germany providing usual exchange goods eastern part western part agreed berlin payment reparations whatever zones taken always leave enough resources enable german people subsist without sustained support nations question poland difficult one certain compromises poland already agreed upon crimea conference obviously binding upon us berlin time berlin conference polish provisional government national unity already formed recognized us new polish government agreed hold free unfettered elections soon possible basis universal suffrage secret ballot acceptance accordance crimea agreement seek opinion polish provisional government national unity respect western northern boundaries agreed final determination borders could accomplished berlin must await peace settlement however considerable portion russian zone occupation germany turned poland berlin conference administrative purposes final determination peace settlement nearly every international agreement element compromise agreement poland exception one nation expect get everything wants question give take willing meet neighbor half way instance much justify action taken agreement line even provisionally necessary enable new poland organize permit speedier withdrawal armed forces liberated germans area east curzon line poles returned poland need room room settle new area west formerly populated germans already left face invading soviet army informed million half left territory poles administer enable poland better support population provide short easily defensible frontier poland germany settled poles provide homogeneous nation three powers also agreed help bring earliest possible return poland poles wish return including soldiers assurance would rights polish citizens action taken berlin help carry basic policy united nations toward poland create strong independent prosperous nation government selected people agreed recommend peace settlement portion east prussia turned russia agreed upon yalta provide soviet union much bring victory europe ice free port expense germany yalta agreed recall three governments would assume common responsibility helping reestablish liberated satellite nations europe governments broadly representative democratic elements population responsibility still stands recognize joint responsibility three governments reaffirmed berlin declarations rumania bulgaria hungary nations spheres influence one power governed allied control commissions composed representatives three governments met yalta berlin control commissions true functioning completely satisfaction improved procedures agreed upon berlin states reestablished members international family joint concern us american delegation much disturbed inability representatives free press get information former german satellite nations three governments agreed berlin allied press would enjoy full freedom report world upon developments rumania bulgaria hungary finland agreement reaffirmed also poland one persistent causes wars europe last two centuries selfish control waterways europe mean danube black sea straits rhine kiel canal inland waterways europe border upon two states united states proposed berlin free unrestricted navigation inland waterways think important future peace security world proposed regulations navigation provided international authorities function agencies would develop use waterways assure equal treatment nations membership agencies would include united states great britain soviet union france plus states border waterways proposal considered conference referred council ministers united states intends press adoption man sees europe must realize victory great war something win like victory ball game victory great war something must kept lost careless negligent indifferent europe today hungry talking germans talking people countries overrun devastated germans particularly people western europe many lack clothes fuel tools shelter raw materials lack means restore cities factories winter comes distress increase unless help may lose next winter terrible cost last spring desperate men liable destroy structure society find wreckage substitute hope let europe go cold hungry may lose foundations order hope worldwide peace must rest must help limits strength meeting berlin first meeting great allies since victory europe naturally thoughts turn day victory japan british chinese united states governments given japanese people adequate warning store laid general terms surrender warning went unheeded terms rejected since japanese seen atomic bomb foresee future world note first atomic bomb dropped hiroshima military base wished first attack avoid insofar possible killing civilians attack warning things come japan surrender bombs dropped war industries unfortunately thousands civilian lives lost urge japanese civilians leave industrial cities immediately save destruction realize tragic significance atomic bomb production use lightly undertaken government knew enemies search know close finding knew disaster would come nation peace loving nations civilization found first felt compelled undertake long uncertain costly labor discovery production race discovery germans found bomb used used attacked us without warning pearl harbor starved beaten executed american prisoners war abandoned pretense obeying international laws warfare used order shorten agony war order save lives thousands thousands young americans shall continue use completely destroy japan power make war japanese surrender stop us atomic bomb dangerous loose lawless world great britain canada united states secret production intend reveal secret means found control bomb protect rest world danger total destruction far back last may secretary war stimson suggestion appointed committee upon secretary state byrnes served personal representative prepare plans future control bomb shall ask congress cooperate end production use controlled power made overwhelming influence towards world peace must constitute trustees new force prevent misuse turn channels service mankind awful responsibility come us thank god come us instead enemies pray may guide us use ways purposes victory europe victory arms victory one way life another victory ideal founded rights common man dignity human conception state servant master people free people showed able defeat professional soldiers whose moral arms obedience worship force tell emerged war powerful nation world powerful nation perhaps history true sense us believe true war shown us tremendous resources make materials war shown us skillful workers managers able generals brave people capable bearing arms things knew new thing thing known thing learned never forget society self governing men powerful enduring creative kind society however disciplined however centralized know basic proposition worth dignity man sentimental aspiration vain hope piece rhetoric strongest creative force present world let us use force resources skills great cause lasting peace three great powers closely ever bound together determination achieve kind peace teheran crimea san francisco berlin shall continue march together lasting peace happy world,1945
26,26,1953-01-15,Harry S. Truman,"January 15, 1953: Farewell Address",Democratic,Missouri,01-01-1953,fellow americans happy opportunity talk leave white house next tuesday general eisenhower inaugurated president united states short time new president takes oath office train going back home independence missouri plain private citizen great republic inauguration day great demonstration democratic process glad part --glad wish general eisenhower possible success begins term--glad whole world chance see simply peacefully american system transfers vast power presidency hands good object lesson democracy proud know last months done best make transfer orderly one talked successor affairs country foreign domestic cabinet officers talked successors want say general eisenhower associates cooperated fully effort orderly transfer one party another never taken place history think real precedent set speaking tonight new revelations make-- political statements-- policy announcements simply things heart want say want say goodbye thanks help want talk little happened since became president speaking room worked since april president office west wing white house desk signed papers embodied decisions made president desk many presidents desk many since became president europe mexico canada brazil puerto rico virgin islands--wake island hawaii visited almost every state union traveled miles air rail ship mail always followed wherever happened office president greatest part president job make decisions--big ones small ones dozens almost every day papers may circulate around government finally reach desk place else go president--whoever -- decide pass buck anybody one else deciding job room almost years main part white house study second floor-- room much like one-- worked night early morning papers get office course years mrs truman living white house across street blair house white house almost fell us rebuilt study blair house living blair house convenient living white house secret service let walk across street get car every morning cross street white house office noon go blair house lunch go back office lunch finally take automobile night return blair house fantastic necessary guards thought-- bosses matters course back white house good condition general eisenhower able take residence house work right much convenient glad renovation job completed term began new president taking office quite different circumstances became president years ago april presiding senate capacity vice president senate recessed clock afternoon walked office speaker house mr rayburn discuss pending legislation soon arrived told mr early one president roosevelt secretaries wanted call reached mr early told come white house quickly possible enter way pennsylvania avenue entrance come mrs roosevelt study arrived mrs roosevelt told tragic news felt shock felt little later-- word came radio appeared newspapers president roosevelt died offered anything could mrs roosevelt asked secretary state call cabinet together p sworn president chief justice stone cabinet room things happening fast days san francisco conference organize united nations called april 25th asked meeting would go forward announced would first decision attending president roosevelt funeral went hall house representatives told joint session congress would carry president roosevelt policies may 7th germany surrendered announcement made may 8th 61st birthday mr churchill called shortly wanted meeting prime minister stalin russia later meeting agreed upon churchill stalin met potsdam germany meanwhile first atomic explosion took place new mexico desert war japan still going made decision atomic bomb used end made decision conviction would save hundreds thousands lives--japanese well american japan surrendered faced huge problems bringing troops home reconverting economy war peace things happened within little months-- april august tell illustrate tremendous scope work president emergencies developments meet required president put long hours--usually hours day payment overtime sign name average times day see talk hundreds people every month shake hands thousands every year still carry business largest going concern whole world job like face earth-- power concentrated desk responsibility difficulty decisions want realize big job hard job -- sake stepping -- sake successor needs understanding help every citizen enough come every years vote candidate go back home say well done part let new president worrying job alone regardless politics whether republican democrat fate tied done room president president whole country must give support citizens united states mine want give suppose history remember term office years cold war began overshadow lives hardly day office dominated --embracing struggle-- conflict love freedom would lead world back slavery darkness always background atomic bomb history says term office saw beginning cold war also say years set course win succeeded carving new set policies attain peace--positive policies policies world leadership policies express faith free people averted world war iii may already succeeded establishing conditions keep war happening far ahead man see great historic achievements proud think difference course course years ago first world war withdrew world affairs-- failed act concert peoples aggression-- helped kill league nations-- built tariff barriers strangled world trade time avoided mistakes helped found sustain united nations welded alliances include greater part free world gone ahead free countries help build economies link us together healthy world trade think back moment see difference japanese moved manchuria free men act fascists moved ethiopia act nazis marched rhineland austria czechoslovakia free men paralyzed lack strength unity think years weakness indecision world war ii evil result think speed courage decisiveness moved communist threat since world war ii first crisis came soviet union refused honor agreement remove troops iran members cabinet came asked ready take risk firm stand involved replied took stand-- made clear soviet union expected honor agreement-- soviet troops withdrawn iran early soviet union threatened greece turkey british sent message saying could longer keep forces area something done eastern mediterranean would taken communists march 12th went congress stated determination help people greece turkey maintain independence today greece still free independent turkey bulwark strength strategic corner world came marshall plan saved europe heroic berlin airlift military aid programs inaugurated north atlantic pact rio pact binding western hemisphere together defense pacts countries far pacific important acted korea independence missouri june secretary acheson telephoned gave news invasion korea told secretary lay matter united nations came back washington flying back flatlands middle west appalachians summer afternoon lot time think turned problem mind many ways thoughts kept coming back -- manchuria ethiopia rhineland austria finally munich history repeating another probing action another testing action let republic korea go country would next another time courage confidence free world would ebbing away united nations would go way league nations reached washington met immediately secretary state secretary defense general bradley civilian military officials information advice help decide talked problems long hard considered problems carefully easy make decision send american boys battle soldier first world war know soldier goes know well anguish mothers fathers families go knew ahead acted korea said realized issue whether would fighting limited area much larger scale later --whether would casualties many casualties later decision reached-- decision believe important time president united states days followed heartening fact american people clearly agreed decision korea men fighting valiantly americans ever fought-- know fighting cause freedom americans stood ever since beginning republic free men failed test time met test met firmly met successfully aggression repelled communists seen hopes easy conquest go drain determination free people defend made clear kremlin thought worldwide struggle communists past years--day day -- never doubted people country necessary win terrible fight communism know people country determination always depended sure able make necessary decisions even though called sacrifices us wrong judgment american people assurance people determination general eisenhower greatest source strength carrying struggle get letter impatient person asking get issue ultimatum make war drop atomic bomb americans answer quite simple made way moral people peace goal justice freedom cannot free violate principles striving defend whole purpose prevent world war iii starting war way make peace anyone still thinks bad means bring good ends let remind living 8th year atomic age nation learning unleash power atom third world war might dig grave communist opponents also society world well starting atomic war totally unthinkable rational men may ask cold war end think answer simply communist world great resources looks strong fatal flaw society godless system system slavery freedom consent iron curtain secret police constant purges symptoms great basic weakness-- rulers fear people long run strength free society ideals prevail system respect neither god man last week state union message congress-- hope take time read -- explained think finally win free world grows stronger united attractive men sides iron curtain-- soviet hopes easy expansion blocked-- come time change soviet world nobody say sure going exactly come whether revolution trouble satellite states change inside kremlin whether communist rulers shift policies free -- whether change comes way-- doubt world change occur deep abiding faith destiny free men patience courage shall day move new era-- wonderful golden age-- age use peaceful tools science forged us away poverty human misery everywhere earth think done capital skills science-- atomic energy-- released tasks defense turned wholly peaceful purposes around world end done help dream loud little tigris euphrates valley made bloom times babylon nineveh israel made country milk honey time joshua plateau ethiopia feet high square miles land exactly like corn belt northern illinois enough food raised feed hundred million people places south america--places colombia venezuela brazil-- like plateau ethiopia--places food could raised millions people things done self liquidating projects get peace safety world united nations developments come fast recognize world live dream future-- picture world hope communist threat overcome talked lot tonight menace communism-- fight -- overriding issue time things done history record one america learned attain real prosperity people million people work businessmen farmers laborers white collar people better incomes good things life ever history world failure insured bank nearly years depositor lost cent period income people fairly distributed perhaps time recent history made progress spreading blessings american life people tremendous awakening american conscience great issues civil rights--equal economic opportunities equal rights citizenship equal educational opportunities people whatever race religion status birth empty drawers desk mrs truman leave white house regret feel done best public service hope believe contributed welfare nation peace world franklin roosevelt died felt must million men better qualified take presidential task work mine tried give everything years worked room well aware really work alone-- working president could ever hope lead country sustain burdens office save people helped support help-- given support-- great essential undertakings build free world strength keep peace big things things done together shall grateful always time come say good night-- god bless,1953
