,Unnamed: 0,Date,President,Title,Party,Home State,Date_Formatted,clean_text,Year
41,41,1898-04-11,William McKinley,"April 11, 1898: Message Regarding Cuban Civil War",Republican,Ohio,04-04-1898,congress united states obedient precept constitution commands president give time time congress information state union recommend consideration measures shall judged necessary expedient becomes duty address body regard grave crisis arisen relations united states spain reason warfare three years raged neighboring island cuba intimate connection cuban question state union grave relation course incumbent upon nation adopt must needs bear traditional policy government accord precepts laid founders republic religiously observed succeeding administrations present day present revolution successor similar insurrections occurred cuba dominion spain extending period nearly half century progress subjected united states great effort expense enforcing neutrality laws caused enormous losses american trade commerce caused irritation annoyance disturbance among citizens exercise cruel barbarous uncivilized practices warfare shocked sensibilities offended humane sympathies people since present revolution began february country seen fertile domain threshold ravaged fire sword course struggle unequaled history island rarely paralleled numbers combatants bitterness contest revolution modern times dependent people striving free opposed power sovereign state people beheld prosperous community reduced comparative want lucrative commerce virtually paralyzed exceptional productiveness diminished fields laid waste mills ruins people perishing tens thousands hunger destitution found constrained observance strict neutrality laws enjoin law nations commands police waters watch seaports prevention unlawful act aid cubans trade suffered capital invested citizens cuba largely lost temper forbearance people sorely tried beget perilous unrest among citizens inevitably found expression time time national legislature issues wholly external body politic engross attention stand way close devotion domestic advancement becomes self contained commonwealth whose primal maxim avoidance foreign entanglements must need awaken indeed aroused utmost concern part government well predecessor rsquo term april evils company suffered cuban war became onerous predecessor made effort bring peace mediation government way might tend honorable adjustment contest spain revolted colony basis effective scheme self government cuba flag sovereignty spain failed refusal spanish government power consider form mediation indeed plan settlement begin actual submission insurgents mother country term spain might see fit grant war continued unabated resistance insurgents wise diminished efforts spain increased dispatch fresh levies cuba addition horrors strife new inhuman phase happily unprecedented modern history civilized christian peoples policy devastation concentration inaugurated captain general rsquo bando october province pinar del rio thence extended embrace island power spanish arms able reach occupation military operations peasantry including dwelling open agricultural interior driven garrison towns isolated places held troops raising movement provisions kinds interdicted fields ware laid waste dwellings unroofed fired mills destroyed short everything could desolate land render unfit human habitation support commanded one contending parties executed powers disposal time present administration took office year ago reconcentration mdash called mdash made effective better part four central western provinces santa clara matanzas havana pinar del rio agricultural population estimated number herded within towns immediate vicinage deprived means support rendered destitute shelter left poorly clad exposed unsanitary conditions scarcity food increased devastation depopulated areas production destitution want became misery starvation month month death rate increased alarming ration march according conservative estimates official spanish sources mortality among reconcentrados starvation diseases thereto incident exceeded per centum total number practical relief accorded destitute overburdened towns already suffering general dearth could give aid called ldquo zones cultivation rdquo established within immediate areas effective military control cities fortified camps proved illusory remedy suffering unfortunates part women children aged helpless men enfeebled disease hunger could tilled soil without tools seed shelter support supply cities reconcentration adopted avowedly ware measure order cut resources insurgents worked predestined result said message last december civilized warfare extermination peace could beget wilderness grave meanwhile military situation island undergone noticeable change extraordinary activity characterized second year war insurgents invaded even thitherto unharmed fields pinar del rio carried havoc destruction walls city havana relapsed dogged struggle central eastern provinces spanish arms regained measure control pinar del rio parts havana existing conditions rural country without immediate improvement productive situation even thus partially restricted revolutionists held conquest submission put forward spain essential sole basis peace seemed far distant outset state affairs administration found confronted grave problem duty message last december reviewed situation narrated steps take view relieving acuteness opening way honorable settlement assassination prime minister canovas led change government spain former administration pledged subjugation without concession gave place liberal party committed long advance policy reform involving wider principle home rule cuba puerto rico overtures government made new envoy general woodford looking immediate effective amelioration condition island although accepted extent condition island although accepted extent admitted mediation shape met assurances home rule advanced phase would forthwith offered cuba without waiting war end humane methods thenceforth prevail conduct hostilities coincidentally declarations new government spain continued completed policy already begun predecessor testifying friendly regard nation releasing american citizens held one charge another connected insurrection end november single person entitled way national protection remained spanish prison negotiations progress increasing destitution unfortunate reconcentrados alarming mortality among claimed earnest attention success attended limited measure relief extended suffering american citizens among judicious expenditure consular agencies money appropriated expressly succor joint resolution approved may prompted humane extension similar scheme aid great body sufferers suggestion end acquiesced spanish authorities 24th december last caused issued appeal american people inviting contributions money kind succor starving sufferers cuba following 8th january similar public announcement formation central cuban relief committee headquarters new york city composed three members representing american national red cross religious business elements community efforts committee untiring accomplished much arrangements free transportation cuba greatly aided charitable work president american red cross representative contributory organizations generously visited cuba cooperated consul general local authorities make effective distribution relief collected efforts central committee nearly money supplies already reached sufferers forthcoming supplies admitted duty free transportation interior arranged relief first necessarily confined havana larger cities extended towns suffering exists thousands lives already saved necessity change condition reconcentrados recognized spanish government within days past orders general weyler revoked reconcentrados said permitted return homes aided resume self supporting pursuits peace public works ordered give employment sum appropriated relief war cuba nature short subjugation extermination final military victory either side seems impracticable alternative lies physical exhaustion one party perhaps mdash condition effect ended ten year rsquo war truce zanjon prospect protraction conclusion present strife contingency hardly contemplated equanimity civilized world least united states affected injured deeply intimately existence realizing appeared duty spirit true friendliness less spain cubans much lose prolongation struggle seek bring immediate termination war end submitted 27th ultimo result much representation correspondence united states minister madrid propositions spanish government looking armistice october negotiation peace good offices president addition asked immediate revocation order reconcentration permit people return farms needy relieved provisions supplies united states cooperating spanish authorities afford full relief reply spanish cabinet received night 31st ultimo offered means bring peace cuba confide preparation thereof insular parliament inasmuch concurrence body would necessary reach final result however understood powers reserved constitution central government lessened diminished cuban parliament meet 4th may next spanish government would object part accept one suspension hostilities asked insurgents general chief would pertain case determine duration conditions armistice propositions submitted general woodford reply spanish government form brief memoranda texts substantially language given function cuban parliament matter ldquo preparing rdquo peace manner expressed spanish memorandum general woodford rsquo explanatory reports preliminary discussions preceding final conference understood spanish government stands ready give insular congress full powers settle terms peace insurgents mdash whether direct negotiation indirectly means legislation appear last overture direction immediate peace disappointing reception spain executive brought end effort annual message december last said untried measures remained recognition insurgents belligerents recognition independence cuba neutral intervention end war imposing national rational compromise contestants intervention favor one party speak forcible annexation thought code morality would criminal aggression thereupon reviewed alternatives light president grant rsquo measured words uttered seven years sanguinary destructive cruel hostilities cuba reached conclusion recognition independence cuba impracticable indefensible recognition belligerence warranted facts according tests public law commented especially upon latter aspect question pointing inconveniences positive dangers recognition belligerence adding already onerous burdens neutrality within jurisdiction could way extend influence effective offices territory hostilities nothing since occurred change view regard recognize fully issuance proclamation neutrality process called recognition belligerents published could unattended action accomplish nothing toward one end labor mdash instant pacification cuba cessation misery afflicts island turning question recognizing time independence present insurgent government cuba find safe precedents history early day well summed president jackson rsquo message congress december subject recognition independence texas said contest arisen revolution france disputes relating crowns portugal spain separation american possessions european governments numerous constantly occurring struggles dominion spanish america wisely consistent principles action government critical circumstances avoided censure encountered evil produced transient estrangement good force evidence compelled decide thus made known world uniform policy practice united states avoid interference disputes merely relate internal government nations eventually recognize authority prevailing party without reference particular interests views merits original controversy every trying occasion safety found rigid adherence principle contest spain revolted colonies stood aloof waited ability new states protect fully established danger subjugated entirely passed away recognized course regard mexico true defeated chief republic captured present power control newly organized government texas annihilated within confines hand appearance least immense disparity physical force side texas mexican republic another executive rallying forces new lender menacing fresh invasion recover lost dominion upon issue threatened invasion independence texas may considered suspended nothing peculiar relative situation united states texas acknowledgment independence crisis could scarcely regarded consistent prudent reserve hitherto held bound treat similar questions thereupon andrew jackson proceeded consider risk might imputed united states motives selfish interest view former claim part territory texas avowed purpose texas seeking recognition independence incident incorporation texas union concluding thus prudence therefore seems dictate still stand aloof maintain present attitude mexico one great foreign powers shall recognize independence new government least lapse time course events shall proved beyond cavil dispute ability people country maintain separate sovereignty uphold government constituted neither contending parties justly complain course pursuing carrying long established policy government policy secured us respect influence abroad inspired confidence home words resolute patriotic jackson evidence united states addition test imposed public law condition recognition independence neutral state wit revolted state shall ldquo constitute fact body politic government substance well name possessed elements stability rdquo forming de facto ldquo left state among nations reasonably capable discharging duties state rdquo imposed governance dealing cases like condition recognition independent statehood due revolted dependency danger subjugated parent state entirely passed away extreme test fact applied case texas congress president jackson referred question one ldquo probably leading war rdquo therefore proper subject ldquo previous understanding body war alone declared provisions sustaining perils must furnished rdquo left matter recognition texas discretion executive providing merely sending diplomatic agent president satisfied republic texas become ldquo independent state rdquo recognized president van buren commissioned charge rsquo affaires march mexico abandoned attempt reconquer texan territory time bona fide contest going insurgent province former sovereign said message december last ldquo seriously considered whether cuban insurrection possesses beyond dispute attributes statehood alone demand recognition belligerency favor rdquo requirement must certainly less seriously considered graver issue recognizing independence question less positive test applied greater act lesser hand influences consequences struggle upon internal policy recognizing state form important factors recognition belligerency concerned secondary rightly eliminable factors real question whether community claiming recognition independent beyond peradventure standpoint expediency think would wise prudent government recognize present time independence called cuban republic recognition necessary order enable united states intervene pacify island commit country recognition particular government cuba might subject us embarrassing conditions international obligation toward organization recognized case intervention conduct would subject approval disapproval government would required submit direction assume mere relation friendly ally shall appear hereafter within island government capable performing duties discharging functions separate nation matter fact proper forms attributes nationality government promptly readily recognized relations interests united states nation adjusted remain alternative forms intervention end war either impartial neutral imposing rational compromise contestants active ally one party first forgotten last months relations united states virtually one friendly intervention many ways conclusive tending exertion potential influence toward ultimate pacific result honorable interests concerned spirit acts hitherto earnest unselfish desire peace prosperity cuba untarnished differences us spain unstained blood american citizens forcible intervention united states neutral stop war according large dictates humanity following many historical precedents neighboring states interfered check hopeless sacrifices life internecine conflicts beyond borders justifiable rational grounds involves however hostile constraint upon parties contest well enforce truce guide eventual settlement grounds intervention may briefly summarized follows first cause humanity put end barbarities bloodshed starvation horrible miseries existing parties conflict either unable unwilling stop mitigate answer say another country belonging another nation therefore none business specially duty right door second owe citizens cuba afford protection indemnity life property government afford end terminate conditions deprive legal protection third right intervene may justified serious injury commerce trade business people wanton destruction property devastation island fourth utmost importance present condition affairs cuba constant menace peace entails upon government enormous expense conflict waged years island near us people trade business relations lives liberty citizens constant danger property destroyed ruined trading vessels liable seizure seized door war ships foreign nation expeditions filibustering powerless prevent altogether irritating questions entanglements thus arising mdash others need mention resulting strained relations constant menace peace compel us keep semiwar footing nation peace elements danger disorder already pointed strikingly illustrated tragic event deeply justly moved american people already transmitted congress report naval court inquiry destruction battle ship maine harbor havana night 15th february destruction noble vessel filled national heart inexpressible horror tow hundred fifty eight brave sailors marines two officers navy reposing fancied security friendly harbor hurled death grief want brought homes sorrow nation naval court inquiry needless say commands unqualified confidence government unanimous conclusion destruction maine caused exterior explosion submarine mine assume place responsibility remains fixed event destruction maine whatever exterior cause patent impressive proof state things cuba intolerable condition thus shown spanish government assure safety security vessel americas navy harbor havana mission peace rightfully referring connection recent diplomatic correspondence dispatch minister spain 36th ultimo contained statement spanish minister foreign affairs assured positively spain highest honor justice require matter maine reply referred 31st ultimo also contained expression readiness spain submit arbitration differences arise matter subsequently explained note spanish minister washington 10th instant follows question fact springs diversity views reports american spanish boards spain proposes facts ascertained impartial investigation experts whose decision spain accepts advance made reply president grant discussing phases contest appeared hopeless apparent indefinite prolongation said event opinion nations compelled assume responsibility devolves upon seriously consider remaining measures possible mdash mediation intervention owing perhaps large expanse water separating island peninsula contending parties appear within depository common confidence suggest wisdom passion excitement away assume part peacemaker view earlier days contest good offices united states mediator tendered good faith without selfish purpose interest humanity sincere friendship parties time declined spain declaration nevertheless future time would indispensable intimation received opinion spain time reached yet strife continues dread horrors injuries interests united states nations party seems quite capable working great injury damage well relations interests dependent existence peace island seem incapable reaching adjustment thus far failed achieving success whereby one party shall possess control island exclusion circumstances agency others either mediation intervention seems alternative must sooner later invoked termination strife last annual message immediate predecessor pending struggle said inability spain deal successfully insurrection become manifest demonstrated sovereignty extinct cuba purposes rightful existence hopeless struggle reestablishment degenerated strife means nothing useless sacrifice human life utter destruction subject matter conflict situation presented obligations sovereignty spain superseded higher obligations hardly hesitate recognize discharge annual message congress december last speaking question said near future demonstrate whether indispensable condition righteous peace alike cubans spain well equitable interests intimately involved welfare cuba likely attained exigency action united states remain taken time comes action determined line indisputable right duty faced without misgiving hesitancy light obligation government people confided protection interests honor humanity sure right keeping free offense actuated upright patriotic considerations moved neither passion selfishness government continue watchful care rights property american citizens abate none efforts bring peaceful agencies peace shall honorable enduring shall hereafter appear duty imposed obligations civilization humanity intervene force shall without fault part necessity action clear command support approval civilized world long trail proved object spain waged war attained fire insurrection may flame may smolder varying seasons plain extinguished present methods hope relief repose condition longer endured enforced pacification cuba name humanity name civilization behalf endangered american interests gives us right duty speak act war cuba must stop view facts considerations ask congress authorize empower president take measure secure full final termination hostilities government spain people cuba secure island establishment stable government capable maintaining order observing international obligations insuring peace tranquility security citizens well use military naval forces united states may necessary purposes interest humanity aid preserving lives starving people island recommend distribution food supplies continued appropriation made public treasury supplement charity citizens issue congress solemn responsibility exhausted every effort relieve intolerable condition affairs doors prepared execute every obligation imposed upon constitution law await action yesterday since preparation foregoing message official information received latest decree queen regent spain directs general blanco order prepare facilitate peace proclaim suspension hostilities duration details yet communicated fact every pertinent consideration sure careful attention solemn deliberations upon enter measure attains successful result aspirations christian peace loving people realized fails another justification contemplated action,1898
42,42,1898-04-22,William McKinley,"April 22, 1898: Proclamation Regarding Blockade of Cuba",Republican,Ohio,04-04-1898,president united states america proclamation whereas joint resolution passed congress approved april communicated government spain demanded said government relinquish authority government island cuba withdraw land naval forces cuba cuban waters president united states directed empowered use entire land naval forces united states call actual service united states militia several states extent might necessary carry said resolution effect whereas carrying effect said resolution president united states deems necessary set foot maintain blockade north coast cuba including ports said coast cardenas bahia honda port cienfuegos south coast cuba therefore william mckinley president united states order enforce said resolution hereby declare proclaim united states america instituted maintain blockade north coast cuba including ports said coast cardenas bahia honda port cienfuegos south coast cuba aforesaid pursuance laws united states law nations applicable cases efficient force posted prevent entrance exit vessels ports aforesaid neutral vessel approaching said ports attempting leave without notice knowledge establishment blockade duly warned commander blockading forces indorse register fact date warning indorsement made vessel shall attempt enter blockaded port captured sent nearest convenient port proceedings cargo prize may deemed advisable neutral vessels lying said ports time establishment blockade allowed thirty days issue therefrom witness whereof hereunto set hand caused seal united states affixed done city washington 22d day april independence united states one hundred twenty second william mckinley president john sherman secretary state,1898
43,43,1898-04-23,William McKinley,"April 23, 1898: Proclamation Calling for Military Volunteers",Republican,Ohio,04-04-1898,president united states america proclamation whereas joint resolution congress approved 20th day april entitled joint resolution recognition independence people cuba demanding government spain relinquish authority government island cuba withdraw land naval forces cuba cuban waters directing president united states use land naval forces united states carry resolutions effect whereas act congress entitled act provide temporarily increasing military establishment united states time war purposes approved april president authorized order raise volunteer army issue proclamation calling volunteers serve army united states therefore william mckinley president united states virtue power vested constitution laws deeming sufficient occasion exist thought fit call forth hereby call forth volunteers aggregate number order carry effect purpose said resolution apportioned far practicable among several states territories district columbia according population serve two years unless sooner discharged details object immediately communicated proper authorities war department witness whereof hereunto set hand caused seal united states affixed done city washington 23d day april independence united states one hundred twenty second william mckinley president john sherman secretary state,1898
