,Unnamed: 0,Date,President,Title,Party,Home State,Date_Formatted,clean_text,Year
0,0,1977-04-18,Jimmy Carter,"April 18, 1977: Address to the Nation on Energy",Democratic,Georgia,04-04-1977,good evening tonight want unpleasant talk problem unprecedented history exception preventing war greatest challenge country face lifetime energy crisis yet overwhelmed us act quickly problem able solve next years likely get progressively worse rest century must selfish timid hope decent world children grandchildren simply must balance demand energy rapidly shrinking resources acting control future instead letting future control us two days present congress energy proposals members partners already given great deal valuable advice many proposals unpopular cause put inconveniences make sacrifices important thing proposals alternative may national catastrophe delay affect strength power nation decision energy test character american people ability president congress govern nation difficult effort moral equivalent war except uniting efforts build destroy know may doubt face real energy shortages gas lines gone springtime weather homes warm energy problem worse tonight weeks ago dead winter worse waste occurred time passed without planning future get worse every day act oil natural gas rely percent energy simply running spite increased effort domestic production dropping steadily percent year imports doubled last years nation economic political independence becoming increasingly vulnerable unless profound changes made lower oil consumption believe early world demanding oil produce world uses million barrels oil day demand increases year percent means stay even need production new texas every year alaskan north slope every months new saudi arabia every years obviously cannot continue must look back history understand energy problem twice last several hundred years transition way people use energy first years ago changed away wood provided percent fuel-- coal much efficient change became basis industrial revolution second change took place century growing use oil natural gas convenient cheaper coal supply seemed almost without limit made possible age automobile airplane travel nearly everyone alive today grew period never known anything different running gas oil must prepare quickly third change-- strict conservation renewed use coal permanent renewable energy sources like solar power world prepared future people used twice much oil used twice much decades oil consumed man previous history combined world consumption oil still going possible keep rising percent year past could use proven reserves oil entire world end next decade know many suspected supplies oil gas withheld market may right suspicions oil companies cannot change fact running petroleum us heard large oil fields alaska north slope years north slope producing fully total output equal years increase nation energy demand new inventory world oil reserves disturbing last world oil production probably keep going another years sometime go demand overtake production choice choice spend next years american uses energy equivalent barrels oil per person year wasteful nation earth waste energy import standard living use twice much energy per person countries like germany japan sweden one choice course continue drift along years consumption oil would keep going every year cars would continue large inefficient three quarters would carry one person-- driver-- public transportation system continues decline delay insulating homes continue lose percent heat waste continue using scarce oil natural gas generate electricity continue wasting two thirds fuel value process act using percent energy use today substantially increase domestic production would need import twice much oil supplies uncertain cost keep going six years ago paid billion imported oil last year spent billion imported oil--nearly times much year may spend billion unless act spend billion imported oil -- every man woman child america along money transport overseas continue losing american jobs become increasingly vulnerable supply interruptions choice wait constantly live fear embargoes could endanger freedom sovereign nation act foreign affairs within years would able import enough oil country acceptable price wait act factories able keep people job reduced supplies fuel utility companies switched coal abundant energy source ready keep transportation system running smaller efficient cars better network buses trains public transportation feel mounting pressure plunder environment crash program build nuclear plants strip mine bum coal drill offshore wells begin conserve right inflation soar production go people lose jobs intense competition oil build among nations also among different regions within country already started fail act soon face economic social political crisis threaten free institutions still another choice begin prepare right decide act still time concept energy policy present wednesday national energy plan based fundamental principles first principle effective comprehensive energy policy government takes responsibility people understand seriousness challenge willing make sacrifices second principle healthy economic growth must continue saving energy maintain standard living keep people work effective conservation program create hundreds thousands new jobs third principle must protect environment energy problems cause environmental problems--wasteful use resources conservation helps us solve problems fourth principle must reduce vulnerability potentially devastating embargoes protect uncertain supplies reducing demand oil making abundant resources coal developing strategic petroleum reserve fifth principle must fair solutions must ask equal sacrifices every region every class people every interest group industry part conserve consumers energy producers deserve fair treatment let oil companies profiteer sixth principle cornerstone policy reduce demand conservation emphasis conservation clear difference plan others merely encouraged crash production efforts conservation quickest cheapest practical source energy conservation way buy barrel oil costs waste seventh principle prices generally reflect true replacement cost energy cheating make energy artificially cheap use really afford eighth principle government policies must predictable certain consumers producers need policies count plan ahead one reason working congress create new department energy replace different agencies control energy ninth principle must conserve fuels scarcest make plentiful continue use oil gas percent consumption make percent domestic reserves need shift plentiful coal taking care protect environment apply stricter safety standards nuclear energy tenth last principle must start develop new unconventional sources energy rely next century principles guided development policy describe congress wednesday night energy plan also include number specific goals measure progress toward stable energy system goals set -- reduce annual growth rate energy demand less percent -- reduce gasoline consumption percent current level -- cut half portion u oil imported-- potential level million barrels million barrels day -- establish strategic petroleum reserve one billion barrels months supply -- increase coal production two thirds one billion tons year -- insulate percent american homes new buildings -- use solar energy million houses monitor progress toward goals year year plan call strict conservation measures fall behind tell measures easy popular think realize policy ask changes sacrifices would effective policy late date plan essential protect jobs environment standard living future whether plan truly makes difference decided washington every town every factory every home every highway every farm believe positive challenge something especially american kinds changes make always proud history efficient people always proud ingenuity skill answering questions need efficiency ingenuity ever always proud leadership world chance give world positive example always proud vision future always wanted give children grandchildren world richer possibilities ones must provide ones suffer act given principles plan sure find something like specifics proposal demand make sacrifices changes every life degree sacrifices painful-- meaningful sacrifice lead higher costs greater inconvenience everyone sacrifices gradual realistic necessary fair one gain unfair advantage plan one asked bear unfair burden monitor accuracy data oil natural gas companies first time always know true production supplies reserves profits citizens insist driving large unnecessarily powerful cars must expect pay luxury sure special interest groups country attack part plan affects directly say sacrifice fine long people sacrifice unreasonable unfair harmful country succeed approach burden ordinary citizen organized interest group would crushing one test program--whether help country generations americans faced mastered great challenges faith meeting challenge make lives even richer join work together patriotism courage prove great nation lead world age peace independence freedom thank much good night,1977
1,1,1980-04-25,Jimmy Carter,"April 25, 1980: Statement on the Iran Rescue Mission",Democratic,Georgia,04-04-1980,late yesterday cancelled carefully planned operation underway iran position rescue team later withdrawal american hostages held captive since november equipment failure rescue helicopters made necessary end mission team withdrawing order two american aircraft collided ground following refueling operation remote desert location iran information rescue mission made available american people appropriate fighting combat deep regret eight crewmen two aircraft collided killed several americans hurt accident people immediately airlifted iran injured gotten medical treatment expected recover knowledge operation iranian officials authorities evident us several hours americans withdrawn iran rescue team knew knew operation certain difficult certain dangerous convinced rescue operation commenced excellent chance success volunteers highly trained met leaders went operation knew hopes mine americans carried families died wounded want express admiration feel courage loved ones sorrow feel personally sacrifice mission embarked humanitarian mission directed iran directed people iran undertaken feeling hostility toward iran people caused iranian casualties planning rescue effort began shortly embassy seized number reasons waited put rescue plans effect feasible complex operation product intensive planning intensive training repeated rehearsal however resolution crisis negotiations voluntary action part iranian officials obviously preferable rescue attempt await judgment iranian authorities could would resolve crisis initiative steady unraveling authority iran mounting dangers posed safety hostages growing realization early release highly unlikely made decision commence rescue operations plans attempt became necessity duty readiness team undertake rescue made completely practicable accordingly made decision set long developed plans operation ordered rescue mission prepared order safeguard american lives protect america national interests reduce tensions world caused among many nations crisis continued decision attempt rescue operation decision cancel problems developed placement rescue team future rescue operation responsibility fully aftermath attempt continue hold government iran responsible safety early release american hostages held long united states remains determined bring safe release earliest date possible president know entire nation feels deep gratitude feel brave men prepared rescue fellow americans captivity president also know nation shares disappointment rescue effort could mounted mechanical difficulties also determination persevere bring hostages home freedom disappointed give efforts throughout extraordinarily difficult period pursued continue pursue every possible avenue secure release hostages efforts support american people friends throughout world crucial element support nations even important seek continue along nations officials iran prompt resolution crisis without loss life peaceful diplomatic means thank much,1980
2,2,1980-08-14,Jimmy Carter,"August 14, 1980: Acceptance Speech at the Democratic National Convention",Democratic,Georgia,08-08-1980,fellow democrats fellow citizens thank nomination offered especially thank choosing running mate best partner president ever fritz mondale gratitude determination accept nomination proud run progressive sound platform hammered convention fritz mount campaign defines real issues campaign responds intelligence american people campaign talks sense going beat republicans november win party great president knew get reelected--franklin delano roosevelt party courageous fighter knew give em hell--harry truman truman said told truth thought hell party gallant man spirit--john fitzgerald kennedy party great leader compassion--lyndon baines johnson party great man president would one greatest presidents history--hubert horatio hornblower--humphrey appreciated convention said senator humphrey great man epitomized spirit democratic party would like say also party governor jerry brown senator edward kennedy like say personal word senator kennedy ted tough competitor superb campaigner attest speech convention magnificent statement democratic party means people country democratic victory important year reach tonight reach supported valiant passionate campaign ted party needs need need idealism dedication working us doubt even greater service lies ahead grateful strong partnership larger cause life dedicated thank support make great partners fall whipping republicans democrats differences share bright vision america future-- vision good life people vision secure nation society peaceful world strong america--confident proud united memory franklin roosevelt years ago said times history concerns personal lives overshadowed concern happen county known time tell choice made year transform personal lives life country well last presidential campaign crisscrossed country listened thousands thousands people housewives farmers teachers small business leaders workers students elderly poor people every race every background every walk life powerful experience-- total immersion human reality america another kind total immersion-- president united states america let talk moment job like learned learned complex difficult task comes oval office easy answers found easy questions come learned president experience best guide right decisions wiser tonight years ago learned presidency place compassion heart burdened troubled americans poor jobless afflicted become part thoughts prayers hostages iran though sons daughters life every human earth depend experience judgment vigilance person oval office president power building power destruction awesome power greatest exactly stakes highest-- matters war peace learned something else something come see extraordinary clarity must look ahead president united states steward nation destiny must protect children children children generations follow must speak act burden glory president cannot yield shortsighted demands matter rich powerful special interests might make demands president cannot bend passions moment however popular might president must sometimes ask sacrifice listeners would rather hear promise comfort president servant today true constituency future election important said makes difference wins election wrong election stark choice two men two parties two sharply different pictures america world -- choice two futures year less years away four presidential elections one children born year come age 21st century time shape world year decisions next years set course perhaps irreversible course important choices made american people polls less months tonight choice could clear consequences crucial one futures choose future building together see security justice peace see future economic security security come tapping great resources oil gas coal sunlight building tools technology factories revitalized economy based jobs stable prices everyone see future justice-- justice good jobs decent health care quality education full opportunity people regardless color language religion simple human justice equal rights men women guaranteed equal rights last constitution united states america see future peace-- peace born wisdom based fairness toward countries world peace guaranteed american military strength american moral strength well future want people future confidence hope good life future america must choose help commitment future america choose another possible future future see despair--despair millions would struggle equal opportunity better life struggle alone see surrender-- surrender energy future merchants oil surrender economic future bizarre program massive tax cuts rich service cuts poor massive inflation everyone see risk-- risk international confrontation risk uncontrollable unaffordable unwinnable nuclear arms race one democrat republican either consciously seeks future claim opponent question disturbing commitments policies already made captured control republican party consequences commitments policies would drive us wrong road us make sure america rejects alarming even perilous destiny way build better future start realities present democrats grapple real challenges real world others talk world tinsel make believe let look moment make believe world fantasy america inner city people farm workers laborers exist women like children seen heard problems working women simply ignored elderly need medicare young need help getting better education workers require guarantee healthy safe place work fantasy world complex global changes world since world war ii never happened fantasy america problems simple solutions--simple wrong make believe world world good guys bad guys politicians shoot first ask questions later hard choices sacrifice tough decisions-- sounds good true path fantasy leads irresponsibility path reality leads hope peace two paths could different could futures lead let take hard look consequences choice working toward secure future rebuilding military strength--steadily carefully responsibly republicans talk military strength office last years face growing soviet threat steadily cut real defense spending third reversed republican decline defense every year since president real increases commitment stronger nation increases prudent rational doubt united states america meet threat soviet union modernized strategic forces revitalized nato trident submarine cruise missile rapid deployment force-- guarantee never second nation deeds words fact fiction must continue build defenses must continue seek balanced reductions nuclear arms new leaders republican party order close gap rhetoric record promised launch nuclear arms race would negate effort negotiate strategic arms limitation agreement winners arms race people earth losers republican nominee advocates abandoning arms control policies important supported every democratic president since harry truman also every republican president since dwight eisenhower radical irresponsible course would threaten security could put whole world peril must never let come pass simple call new arms race armed aggression threatens world peace tough sounding talk like enough president must act responsibly soviet troops invaded afghanistan moved quickly take action suspended grain sales soviet union called draft registration joined wholeheartedly congress u olympic committee led nations boycotting big propaganda show russia-- moscow olympics republican leader opposed two forceful peaceful actions waffled third asked would aggression southwest asia suggested blockading cuba laughter even running mate go along seem know russians sure wants feed play fight look back first term grateful country full years peace going next years peace common sense america stay secure peace must encourage others peaceful well know helped zimbabwe rhodesia stood firm racial justice democracy also helped middle east criticized camp david accords criticized delays implementation middle east peace treaty well became president camp david accords middle east peace treaty camp david israel egypt poised across barbed wire confronting guns tanks planes afterward talked face face across peace table also communicated ambassadors cairo tel aviv kind future offering-- peace middle east democrats reelected fall proud nearly half aid country ever given israel years existence come administration unlike republican predecessors never stopped slowed aid israel long president never commitment clear security peace israel peace peoples middle east world future freedom well peace america must continue defend human rights listen new republican leaders oppose human rights policy want scrap seem think naive america stand freedom democracy think stand ask former political prisoners live freedom abandon stand human rights ask dissidents soviet union commitment human rights ask hungarian americans ask polish americans listen pope john paul ii ask suffering sake justice liberty around world ask millions fled tyranny america stop speaking human principles ask american people tell long president hold high banner human rights depend home choice two futures equally important long run nothing crucial future america energy nothing disastrously neglected past long arab oil embargo republicans white house still done nothing meet threat national security nation policy dictated big oil companies democrats fought hard rally nation behind comprehensive energy policy good program new foundation challenging exciting progress years struggle program battle secure america energy future fully finally joined americans cooperated dramatic results reversed decades dangerous growing dependence foreign oil importing percent less oil-- million barrels oil every day less day took office new energy policy place discover produce create conserve energy use american resources american technology millions american workers republicans propose basically energy program two parts first part get rid almost everything done american public last years want reduce abolish synthetic fuels program want slash solar energy incentives conservation programs aid mass transit aid elderly americans help pay fuel bills want eliminate mile speed limit republicans would like gut clean air act never liked begin one part program part worse replace built propose destroy windfall profits tax unleash oil companies let solve energy problem us whole program nation accept outrageous program audience president democrats fight every step way begin tomorrow morning campaign reelection november took office inherited heavy load serious economic problems besides energy met head slashed government regulations put free enterprise back airlines trucking financial systems country thing railroads greatest change relationship government business since new deal increased exports dramatically reversed decline basic research development created million new jobs-- biggest increase history country road bumpy last year skyrocketing opec price increases helped trigger worldwide inflation crisis took forceful action interest rates fallen dollar stable although still battle hands struggling bring inflation control critical point turning point economic history country made hard decisions guided nation economy rough essential period transition laid groundwork new economic age economic renewal program meet immediate need jobs attack long range problem caused unemployment inflation first place move america simultaneously towards five great economic goals--lower inflation better productivity revitalization american industry energy security jobs time put america back work-- make work real work real work modernizing american industries creating new industries america well things rebuild together build together --new industries turn coal shale farm products fuel cars trucks turn light sun heat electricity homes -- modern transportation system railbeds ports make american coal powerful rival opec oil --industries provide convenience futuristic computer technology communications serve millions american homes offices factories --job training workers displaced economic changes --new investment pinpointed regions communities jobs needed --better mass transit cities cities -- whole new generation american jobs make homes vehicles buildings house us move us comfort lot less energy important doubt ingenuity dedication american people make every single one things happen talking united states america count country economic superpower going find wrong going share exciting enterprise making time growth america republican alternative biggest tax giveaway history call reagan kemp roth call free lunch americans cannot afford republican tax program offers rebates rich deprivation poor fierce inflation us party vice presidential nominee said reagan kemp roth would result inflation rate percent called voodoo economics suddenly changed mind toward end republican convention right first time along gigantic tax cut new republican leaders promise protect retirement health programs massive increases defense spending claim balance budget serious promises say close analysis shows entire rest government would abolished everything education farm programs g bill night watchman lincoln memorial-- budget would still red alternative would build printing presses print cheap money either way american people lose american people stand democratic party always embodied hope people justice opportunity better life worked every way possible strengthen american family encourage self reliance follow old testament admonition defend poor fatherless give justice afflicted needy struggled assure child america ever goes bed hungry elderly couple america live substandard home young person america excluded college family poor republicans proposed -- attack everything done achievement social justice decency last years ever since franklin delano roosevelt first term would make social security voluntary would reverse progress minimum wage full employment laws safety work place healthy environment lately know republicans quoting democratic presidents blame would rather quote herbert hoover franklin delano roosevelt would rather quote richard nixon john fitzgerald kennedy republicans always party privilege year leaders gone even platform repudiated best traditions party conscience lincoln party lincoln become traditional republican commitment fiscal responsibility happened commitment safe sane arms control claim perfection democratic party claim every decision made right popular certainly easy say tested fire neither ducked hidden tackled great central issues time historic challenges peace energy ignored years made tough decisions taken heat made mistakes learned built foundation better future done something else perhaps even important good times bad valleys peaks told people truth hard truth truth sometimes hurts one truth americans learned dream earned progress peace look land within memory-- great depression world war technological explosion civil rights revolution bitterness vietnam shame watergate twilight peace nuclear terror momentous experiences learned hard way world matured grown nation grown stronger learned uses limitations power learned beauty responsibility freedom learned value obligation justice learned necessity peace would argue master lessons somehow limit potential nation knows true strengths sees true challenges understands legitimate constraints nation-- nation-- far stronger one takes refuge wishful thinking nostalgia democratic party-- american people understood fundamental truths us sympathize desire easy answers often temptation substitute idle dreams hard reality new republican leaders hoping nation succumb temptation year profoundly misunderstand underestimate character american people three weeks pearl harbor winston churchill came north america said journeyed way across centuries across oceans across mountains across prairies made sugar candy americans courage americans always cutting edge change always looked forward anticipation confidence still want thing want-- self reliant neighborhood strong families work able bodied good medical care sick opportunity youth dignity old equal rights justice people want teachers eager explain civilization really want students understand needs aims also needs yearnings neighbors want women free pursue without limit full life want want farmers growing crops feed nation world secure knowledge family farm thrive fair return good work us want workers see meaning labor perform work enough guarantee job every worker country want people business free pursue boldness freedom new ideas want minority citizens fully join mainstream american life want bottom heart remove blight racial discrimination face nation determined need join fulfilling vision choice choice two futures could clear succumb dream world wake nightmare start reality fight make dreams reality americans good life life meaning purpose nation strong secure want us founders nation meant us become-- land freedom land peace land hope thank much,1980
3,3,1978-12-15,Jimmy Carter,"December 15, 1978: Speech on Establishing Diplomatic Relations with China",Democratic,Georgia,12-12-1978,good evening would like read joint communique simultaneously issued peking moment leaders people republic china joint communique establishment diplomatic relations united states america people republic china january united states america people republic china agreed recognize establish diplomatic relations january united states america recognizes government people republic china sole legal government china within context people united states maintain cultural commercial unofficial relations people taiwan united states america people republic china reaffirm principles agreed two sides shanghai communique emphasize -- wish reduce danger international military conflict --neither seek hegemony asia pacific region region world opposed efforts country group countries establish hegemony --neither prepared negotiate behalf third party enter agreements understandings directed states -- government united states america acknowledges chinese position one china taiwan part china -- believe normalization sino american relations interest chinese american peoples also contributes cause peace asia world united states america people republic china exchange ambassadors establish embassies march yesterday country people republic china reached final historic agreement january little two weeks two governments implement full normalization diplomatic relations nation gifted people comprise one fourth total population earth china plays already important role world affairs role grow important years ahead undertake important step transient tactical expedient reasons recognizing people republic china single government china recognizing simple reality far involved decision recognition fact estrangement recent decades american chinese people long history friendship already begun rebuild previous ties rapidly expanding relationship requires kind structure full diplomatic relations make possible change announcing tonight great long term benefit peoples country china-- believe peoples world normalization-- expanded commercial cultural relations bring-- contribute well nation national interest also enhance stability asia positive relations china beneficially affect world live world children live already begun inform allies nations members congress details intended action wish also tonight convey special message people taiwan-- already communicated leaders taiwan-- american people extensive close friendly relations important two peoples united states asserted shanghai communique issued president nixon historic visit continue interest peaceful resolution taiwan issue paid special attention ensuring normalization relations country people republic jeopardize well people taiwan people country maintain current commercial cultural trade relations taiwan nongovernmental means many countries world already successfully decisions actions open new important chapter country history also world affairs strengthen expedite benefits new relationship china united states pleased announce vice premier teng accepted invitation visit washington end january visit give governments opportunity consult global issues begin working together enhance cause world peace events final result long serious negotiations begun president nixon continued leadership president ford results bear witness steady determined bipartisan effort country build world peace goal responsibility nations normalization relations united states china purpose advancement peace spirit season peace take special pride sharing good news tonight thank much,1978
4,4,1977-02-02,Jimmy Carter,"February 2, 1977: Report to the American People on Energy",Democratic,Georgia,02-02-1977,good evening tomorrow two weeks since became president spent lot time deciding good president talk broadcast networks agreed bring one several steps take keep close touch people country let know informally plans coming months running president made number commitments take seriously believe reason elected want know intend carry probably noticed already acted several promises report time time government-- problems achievements tonight want tell plan carry commitments obvious goals achieved quickly-- example executive orders decisions made directly many areas must move carefully full involvement congress allowing time citizens participate careful study order develop predictable long range programs sure affordable know work efforts also require dedication--perhaps even sacrifice-- believe us afraid learn national goals require cooperation mutual effort one urgent projects develop national energy policy pointed campaign united states major industrial country without comprehensive long range energy policy extremely cold weather winter dangerously depleted supplies natural gas fuel oil forced hundreds thousands workers job congratulate congress quick action emergency natural gas act passed today signed minutes ago real problem-- failure plan future take energy conservation seriously--started long winter take much longer solve realize many believed really energy problem winter made us realize act congress already made many preparations energy legislation presidential assistant dr james schlesinger beginning direct effort develop national energy policy many groups americans involved april completed planning energy program immediately ask congress help enacting comprehensive legislation program emphasize conservation amount energy wasted could saved greater total energy importing foreign countries also stress development rich coal reserves environmentally sound way emphasize research solar energy renewable energy sources maintain strict safeguards necessary atomic energy production responsibility setting energy policy split among different agencies departments bureaus federal government later month ask congress help combining many agencies new energy department bring order chaos congressional leaders already working quite must face fact energy shortage permanent way solve quickly cooperate make modest sacrifices learn live thriftily remember importance helping neighbors find ways adjust make society efficient lives enjoyable productive utility companies must promote conservation consumption oil natural gas companies must honest us reserves profits find difference real shortages artificial ones ask private companies sacrifice private citizens must us must learn waste less energy simply keeping thermostats instance degrees daytime degrees night could save half current shortage natural gas way anyone else government solve energy problems willing help know meet energy challenge burden borne fairly among people-- realize order solve energy problems need sacrifice quality lives congress made great progress toward responsible strip mining legislation produce energy without unnecessary destruction beautiful lands administration support efforts year also ask congress help legislation reduce risk future oil tanker spills help deal occur also stated campaign administration would everything possible restore healthy american economy nation built principle work welfare productivity stagnation took office couple weeks ago middle worst economic slowdown last years million people want work cannot find according latest statistics high unemployment idle factories average american family like losing year income many billions dollars added federal deficit also inflation hurts us every part country whether job whether looking job must race keep constant rise prices inflation hit us hardest luxuries essentials--food energy health housing see every time go shopping understand unemployment inflation real done great harm many american families nothing makes harder provide decent health housing education people protect environment realize goal balanced budget stagnant economy soon elected leaders congress advisers began work develop proposal economic recovery guided principle everyone able work ought work economic strength based healthy productive private business sector must provide greatest help greatest need must predictable steady growth economy two days ago presented plan congress balanced plan many clements meet many causes economic problems one element sure like reducing taxes year one time tax benefits average family four income -- percent reduction income taxes primary concern still jobs one time tax rebates quick effective way get money economy create jobs time reducing taxes permanently increasing standard deduction taxpayers claim family four earning save permanent basis-- percent-- future income taxes also major step toward tax simplification allowing percent taxpayers take standard deduction file simple tax return quite different one file year also provide tax incentives business firms encourage fight inflation expanding output hire people eager work think makes sense government help workers stay payroll force onto unemployment benefits welfare payments several proposals legislation help cities especially hard hit nationwide economic problems communities unemployment worst eligible additional money revenue sharing program special program public service employment enable unemployed contribute communities hospitals nursing homes park recreation programs related activities strong public works program permit construction selected projects needed make work projects especially valuable communities budget cutbacks reduced municipal services also help prevent local tax increases unemployment severe among special groups people-- young disabled minority groups-- focus training programs top priority job training programs go young veterans vietnam war unemployment much higher among veterans among others age serve military hope putting many thousands veterans back work one step toward binding wounds war years toward helping helped country past realize people think total economic plan perfect many groups would like see one kind aid less another confident best balanced plan produce overall economic health nation produce steady balanced sustainable growth ignore inflation solve unemployment vice versa ask one group people sacrifice solely benefit another group asks us contribute participate share get country back road work excellent investment future also said many times campaign must reform reorganize federal government often used phrase competent compassionate describe government government must perform function efficiently wherever free competition would better job serving public government stay ordinary people able understand government works get satisfactory answers questions confused wasteful system took long grow take long time change place start top white house reducing size white house staff nearly one third asked members cabinet top staff level soon put ceiling number people employed federal government agencies bring growth government control reviewing government advisory committees commissions see many could abolished without harm public eliminated expensive unnecessary luxuries door door limousine service many top officials including members white house staff government officials sensitive problems living like royalty washington deeply grateful good wishes lie behind would like ask people send gifts family anyone else serves administration cut also government regulations make sure written plain english change whenever regulation issued carry author name request cabinet members read regulations personally released week ask congress enabling legislation let reorganize government passage legislation give authority extended every president franklin roosevelt richard nixon used many governors across country absolutely crucial successful reorganization effort far news congress support encouraging office management budget working plan include zero based budgeting removal unnecessary government regulations sunset laws cancel programs outlived purpose elimination overlap duplication among government services propose changes done best sure right eager learn experience program work end instead starting another conceal first mistakes also move quickly reform tax system welfare system said campaign income tax system disgrace arbitrary complicated unfair made commitment total overhaul income tax laws economic program already mentioned earlier enabling taxpayers use standard deduction first step toward much better tax system advisers already started working congress study complete tax reform give us fairer simpler system outline study procedures soon consultation many american citizens congress present comprehensive tax reform package end year welfare system also needs complete overhaul welfare waste robs taxpayers country really genuinely need help often forces families split discourages people seeking work secretary labor secretary health education welfare others already begun review entire welfare system course work congress develop proposals new system minimize abuse strengthen family emphasize adequate support cannot work training jobs work expect first report ready within days meantime support congress efforts deal widespread fraud waste abuse medicaid system reforming government also means making government open honest congress moving strongly ethics legislation asked people appointed high positions government abide strict rules financial disclosure avoid conflicts interest intend make rules permanent select appointees way close revolving door government regulatory agencies one hand businesses regulate cabinet members conduct open administration frequent press conferences reports people town hall meetings across nation criticize make suggestions ask questions also planning radio networks live call sessions oval office accept phone calls answer questions mind asked members cabinet travel regularly around country stay close touch communities government services delivered many areas domestic policy--housing health crime education agriculture others-- concern president time discuss tonight projects take careful study close cooperation congress many take longer would like determined work later reports explain help help congress carry also made commitments nation foreign policy commander chief armed forces determined strong lean efficient fighting force policy based close cooperation allies worldwide respect human rights reduction world armaments must always reflect moral values want nation actions make proud yesterday vice president mondale returned day visit leaders western europe japan asked make trip demonstrate intention consult traditional allies friends important questions pleased report vice president mondale constant close adviser spirit international friendship soon welcome united states leaders several nations beginning neighbors canada mexico month secretary state cyrus vance go middle east seeking ways achieve genuine peace israel arab neighbors ambassador united nations andrew young left last night visit africa demonstrate friendship peoples commitment peaceful change toward majority rule southern africa also strive improve relations soviet union people republic china ensuring security seeking reduce risks conflict continue express concern violations human rights past week without upsetting efforts toward friendly relationships countries later another program make much complete report foreign policy matters would like tell one things already learned brief time office learned many things president cannot energy policy develop would good voluntary conservation economic policy much shared faith hard work efficiency future system know congress administration partners leadership limited powers way ought months campaigned prepared take office begun serve president found reason optimism help predecessor come difficult period nation history almost years sense common national interest lost faith joint efforts mutual sacrifices divisions country many us cannot remember time really felt united remember another difficult time nation history felt different spirit world war ii faced terrible crisis-- challenge fighting nazism drew us together us old enough remember know dark frightening times-- many memories people ready help common good believe ready spirit -- plan ahead work together use common sense war realize must act together solve problems ready trust one another president able provide everything every one might like sure make many mistakes promise needs never ignored forget put us office always nation differences--business labor blacks whites men women people different regions religions different ethnic backgrounds-- faith confidence differences source personal fullness national strength rather cause weakness division united nation good president need help best know thank much good night,1977
